event_id,trigger,solver_called,runtime
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0061,True,True,30.000970262102783
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0062,True,True,30.00099990190938
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0063,True,True,30.000477222260088
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0064,True,True,30.00012444378808
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0065,True,True,30.01091218367219
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0066,True,True,30.001341806724668
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0067,True,True,30.00130405696109
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0068,True,True,30.00086627807468
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0069,True,True,30.00092540262267
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0070,True,True,30.001838443335146
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0071,True,True,30.000092211179435
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0072,True,True,30.001486322376877
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0073,True,True,30.001811447087675
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0074,True,True,30.00101636722684
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0075,True,True,30.00144825875759
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0076,True,True,30.012459999881685
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0077,True,True,30.00167242716998
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0078,True,True,30.001422283705324
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0079,True,True,30.00176888331771
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0080,True,True,30.014828040730208
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0081,True,True,30.001575239002705
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0082,True,True,30.000799018889666
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0083,True,True,30.001175878103822
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0084,True,True,30.001086989883333
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0085,True,True,30.001492525916547
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0086,True,True,30.001805029809475
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0087,True,True,30.001176794059575
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0088,True,True,30.00098828598857
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0089,True,True,30.000806699041277
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0090,True,True,30.000732293818146
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0091,True,True,30.00065047480166
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0092,True,True,30.000457856804132
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0093,True,True,30.001164733897895
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0094,True,True,30.000654292292893
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0095,True,True,30.02954160468653
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0096,True,True,30.000893561169505
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0097,True,True,30.00080529320985
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0098,True,True,30.000278032850474
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0099,True,True,30.00058220466599
