event_id,trigger,solver_called,runtime
sol_r108_e0000,True,True,29.999989869073033
sol_r108_e0001,True,True,29.999808582942933
sol_r108_e0002,True,True,29.99959099944681
sol_r108_e0003,True,True,30.018876757938415
sol_r108_e0004,True,True,30.00052516022697
sol_r108_e0005,True,True,30.010157563723624
sol_r108_e0006,True,True,30.00176155474037
sol_r108_e0007,True,True,30.00092703709379
sol_r108_e0008,True,True,30.000696077011526
sol_r108_e0009,True,True,29.999880600720644
sol_r108_e0010,True,True,30.02599190408364
sol_r108_e0011,True,True,29.999850775115192
sol_r108_e0012,True,True,30.020503213163465
sol_r108_e0013,True,True,30.000465696211904
sol_r108_e0014,True,True,30.000239421147853
sol_r108_e0015,True,True,30.01579075679183
sol_r108_e0016,True,True,30.000171209685504
sol_r108_e0017,True,True,30.000408289954066
sol_r108_e0018,True,True,30.00078712729737
sol_r108_e0019,True,True,30.002335243858397
sol_r108_e0020,True,True,30.028303368017077
sol_r108_e0021,True,True,30.005356980953366
sol_r108_e0022,True,True,30.00051424605772
sol_r108_e0023,True,True,30.006199460010976
sol_r108_e0024,True,True,30.000619142781943
sol_r108_e0025,True,True,30.00257050478831
sol_r108_e0026,True,True,30.024143937043846
sol_r108_e0027,True,True,30.000372017733753
sol_r108_e0028,True,True,30.000899836886674
sol_r108_e0029,True,True,30.000995522364974
sol_r108_e0030,True,True,30.000556284096092
sol_r108_e0031,True,True,30.000243757851422
sol_r108_e0032,True,True,30.028066436760128
sol_r108_e0033,True,True,30.000187828205526
sol_r108_e0034,True,True,30.00051264092326
sol_r108_e0035,True,True,30.016237812116742
sol_r108_e0036,True,True,30.000566999893636
sol_r108_e0037,True,True,30.000364784151316
sol_r108_e0038,True,True,30.000239019747823
sol_r108_e0039,True,True,29.99979217723012
sol_r108_e0040,True,True,30.003384008072317
sol_r108_e0041,True,True,30.02206993009895
sol_r108_e0042,True,True,30.000600068829954
sol_r108_e0043,True,True,30.000168439932168
sol_r108_e0044,True,True,30.001021364238113
sol_r108_e0045,True,True,30.007768098730594
sol_r108_e0046,True,True,30.000283810775727
sol_r108_e0047,True,True,30.00072460155934
sol_r108_e0048,True,True,30.000207133125514
sol_r108_e0049,True,True,30.001264741644263
sol_r108_e0050,True,True,30.000604117754847
sol_r108_e0051,True,True,30.000119417905807
sol_r108_e0052,True,True,29.999580874107778
sol_r108_e0053,True,True,30.023228152189404
sol_r108_e0054,True,True,30.000646398868412
sol_r108_e0055,True,True,30.0246235569939
sol_r108_e0056,True,True,29.999931524973363
sol_r108_e0057,True,True,30.00086784316227
sol_r108_e0058,True,True,30.00013228598982
sol_r108_e0059,True,True,30.000452529173344
sol_r108_e0060,True,True,30.018929174169898
sol_r108_e0061,True,True,30.00009447382763
sol_r108_e0062,True,True,29.99975071894005
sol_r108_e0063,True,True,30.0002220030874
sol_r108_e0064,True,True,30.00088110426441
sol_r108_e0065,True,True,30.001443585846573
sol_r108_e0066,True,True,30.000242542941123
sol_r108_e0067,True,True,30.000834736041725
sol_r108_e0068,True,True,29.99996057897806
sol_r108_e0069,True,True,29.99993997020647
sol_r108_e0070,True,True,30.000664873979986
sol_r108_e0071,True,True,30.001142705325037
sol_r108_e0072,True,True,30.001434524077922
sol_r108_e0073,True,True,30.00040706479922
sol_r108_e0074,True,True,30.00185621296987
sol_r108_e0075,True,True,29.99952872702852
sol_r108_e0076,True,True,30.000385106075555
sol_r108_e0077,True,True,30.00027032708749
sol_r108_e0078,True,True,30.000453763641417
sol_r108_e0079,True,True,30.000545132905245
sol_r108_e0080,True,True,30.000623929779977
sol_r108_e0081,True,True,29.9998273816891
sol_r108_e0082,True,True,29.999496466014534
sol_r108_e0083,True,True,30.000816124025732
sol_r108_e0084,True,True,30.000953236129135
sol_r108_e0085,True,True,30.000202184077352
sol_r108_e0086,True,True,30.001125202979892
sol_r108_e0087,True,True,30.007739190012217
sol_r108_e0088,True,True,30.022581406868994
sol_r108_e0089,True,True,30.026907505933195
sol_r108_e0090,True,True,30.000381460878998
sol_r108_e0091,True,True,30.019978769123554
sol_r108_e0092,True,True,30.000221247784793
sol_r108_e0093,True,True,30.002983221784234
sol_r108_e0094,True,True,30.033282921183854
sol_r108_e0095,True,True,30.003449954092503
sol_r108_e0096,True,True,30.000079757068306
sol_r108_e0097,True,True,30.000435349997133
sol_r108_e0098,True,True,30.009572742972523
sol_r108_e0099,True,True,30.02341713476926
