event_id,trigger,solver_called,runtime
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0061,True,True,30.000976929441094
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0062,True,True,30.00105927931145
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0063,True,True,30.00098860496655
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0064,True,True,30.00125374412164
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0065,True,True,30.000338794197887
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0066,True,True,30.00095147592947
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0067,True,True,30.000989189837128
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0068,True,True,30.002202168572694
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0069,True,True,30.00099538685754
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0070,True,True,30.00123264407739
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0071,True,True,30.001552850939333
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0072,True,True,30.000013896729797
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0073,True,True,30.000374113675207
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0074,True,True,30.000961204059422
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0075,True,True,30.001153185032308
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0076,True,True,30.000805628020316
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0077,True,True,30.000590863171965
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0078,True,True,30.00156034110114
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0079,True,True,30.00094476295635
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0080,True,True,30.001130029093474
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0081,True,True,30.000870778691024
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0082,True,True,30.000747384969145
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0083,True,True,30.0004098508507
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0084,True,True,30.00052834721282
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0085,True,True,30.00174528406933
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0086,True,True,30.000365253072232
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0087,True,True,30.000955006107688
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0088,True,True,30.00115908915177
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0089,True,True,30.000951045192778
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0090,True,True,30.000991301611066
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0091,True,True,30.000667973887175
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0092,True,True,30.000205975025892
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0093,True,True,30.001520899124444
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0094,True,True,30.00101586896926
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0095,True,True,30.001978551968932
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0096,True,True,30.000276784878224
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0097,True,True,30.000905074179173
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0098,True,True,30.0016904422082
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0099,True,True,30.00007271487266
