dataset_source,scenario,instance_id,seed,solver_calls,total_travel,total_lateness,unserved,served_ratio,objective,runtime_total_seconds,route_nervousness,feasible
solomon,static,sol_r105,0,1,1395.0,0.0,0,1.0,2395.0,30.02507698815316,0.0,True
solomon,continuous,sol_r105,0,101,1389.0,0.0,0,1.0,2389.0,3030.619046265725,0.0,True
solomon,aet_rag,sol_r105,42,7,1395.0,0.0,0,1.0,2395.0,210.0683399690315,0.101010101010101,True
solomon,static,sol_r106,0,1,1262.0,0.0,0,1.0,2262.0,30.00001734914258,0.0,True
solomon,continuous,sol_r106,0,101,1251.0,0.0,0,1.0,2251.0,3030.455339503009,0.0,True
solomon,aet_rag,sol_r106,42,11,1247.0,0.0,0,1.0,2247.0,330.0197957409546,0.1818181818181818,True
solomon,static,sol_r107,0,1,1096.0,0.0,0,1.0,2096.0,30.00105377100408,0.0,True
solomon,continuous,sol_r107,0,101,1075.0,0.0,0,1.0,2075.0,3030.492840377148,0.0,True
solomon,aet_rag,sol_r107,42,8,1096.0,0.0,0,1.0,2096.0,240.08267154498023,0.1212121212121212,True
solomon,static,sol_r108,0,1,972.0,0.0,0,1.0,1972.0,30.00072705419734,0.0,True
solomon,continuous,sol_r108,0,101,973.0,0.0,0,1.0,1973.0,3030.4862909521908,0.0,True
solomon,aet_rag,sol_r108,42,9,978.0,0.0,0,1.0,1978.0,270.0167572498321,0.1414141414141414,True
solomon,static,sol_r109,0,1,1201.0,0.0,0,1.0,2201.0,30.00076866801828,0.0,True
solomon,continuous,sol_r109,0,101,1194.0,0.0,0,1.0,2194.0,3030.48783632461,0.0,True
solomon,aet_rag,sol_r109,42,9,1201.0,0.0,0,1.0,2201.0,270.0986456372775,0.1414141414141414,True
solomon,static,sol_r110,0,1,1147.0,0.0,0,1.0,2147.0,30.02157937269658,0.0,True
solomon,continuous,sol_r110,0,101,1147.0,0.0,0,1.0,2147.0,3030.6900355531834,0.0,True
solomon,aet_rag,sol_r110,42,13,1147.0,0.0,0,1.0,2147.0,390.07981066964567,0.2222222222222222,True
synthetic,static,syn_n100_000,0,1,3823.0,0.0,3,0.97,34421.0,30.00007745390758,0.0,True
synthetic,continuous,syn_n100_000,0,51,3736.0,0.0,3,0.97,34334.0,1530.1990012400784,0.0,True
synthetic,aet_rag,syn_n100_000,42,5,3823.0,0.0,3,0.97,34421.0,150.00799536611885,0.1632653061224489,True
synthetic,static,syn_n100_001,0,1,3925.0,0.0,4,0.96,44517.0,30.00033344421536,0.0,True
synthetic,continuous,syn_n100_001,0,51,3868.0,0.0,4,0.96,44460.0,1530.1582058006898,0.0,True
synthetic,aet_rag,syn_n100_001,42,6,3925.0,0.0,4,0.96,44517.0,180.0050777089782,0.2040816326530612,True
synthetic,static,syn_n100_002,0,1,4398.0,0.0,1,0.99,15014.0,30.00062748976052,0.0,True
synthetic,continuous,syn_n100_002,0,51,4405.0,0.0,1,0.99,15021.0,1530.174857346807,0.0,True
synthetic,aet_rag,syn_n100_002,42,6,4398.0,0.0,1,0.99,15014.0,180.0130573422648,0.2040816326530612,True
synthetic,static,syn_n100_003,0,1,4300.0,0.0,1,0.99,14859.0,30.00028454419225,0.0,True
synthetic,continuous,syn_n100_003,0,51,4256.0,0.0,1,0.99,14815.0,1530.16507518664,0.0,True
synthetic,aet_rag,syn_n100_003,42,8,4300.0,0.0,1,0.99,14859.0,240.07302640005943,0.2448979591836734,True
synthetic,static,syn_n100_004,0,1,4275.0,0.0,3,0.97,34830.0,30.00126235000789,0.0,True
synthetic,continuous,syn_n100_004,0,51,3883.0,0.0,3,0.97,34438.0,1530.1849609147755,0.0,True
synthetic,aet_rag,syn_n100_004,42,6,4275.0,0.0,3,0.97,34830.0,180.0089798271656,0.2040816326530612,True
synthetic,static,syn_n200_000,0,1,7298.0,0.0,2,0.99,28501.0,30.00068460498005,0.0,True
synthetic,continuous,syn_n200_000,0,101,7374.0,0.0,2,0.99,28577.0,3030.3277271054685,0.0,True
synthetic,aet_rag,syn_n200_000,42,8,7298.0,0.0,2,0.99,28501.0,240.0077548515983,0.1414141414141414,True
synthetic,static,syn_n200_001,0,1,7598.0,0.0,3,0.985,38768.0,30.00091262208298,0.0,True
synthetic,continuous,syn_n200_001,0,101,7575.0,0.0,3,0.985,38745.0,3031.4864811431617,0.0,True
synthetic,aet_rag,syn_n200_001,42,13,7603.0,0.0,3,0.985,38773.0,390.1965498798527,0.2222222222222222,True
synthetic,static,syn_n200_002,0,1,7526.0,0.0,5,0.975,58709.0,30.000285047106445,0.0,True
synthetic,continuous,syn_n200_002,0,101,7495.0,0.0,5,0.975,58678.0,3030.2547907899134,0.0,True
synthetic,aet_rag,syn_n200_002,42,9,7531.0,0.0,5,0.975,58714.0,270.0089211273007,0.1616161616161616,True
synthetic,static,syn_n200_003,0,1,7919.0,0.0,4,0.98,49113.0,30.001067467033863,0.0,True
synthetic,continuous,syn_n200_003,0,101,7714.0,0.0,4,0.98,48908.0,3030.819194854237,0.0,True
synthetic,aet_rag,syn_n200_003,42,6,7708.0,0.0,4,0.98,48902.0,180.00512887584046,0.101010101010101,True
synthetic,static,syn_n200_004,0,1,6869.0,0.0,4,0.98,48019.0,30.000950927380472,0.0,True
synthetic,continuous,syn_n200_004,0,101,7136.0,0.0,4,0.98,48286.0,3031.5131910596974,0.0,True
synthetic,aet_rag,syn_n200_004,42,11,6948.0,0.0,4,0.98,48098.0,330.01209233747795,0.202020202020202,True
euro_neurips_2022,static,enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12,0,1,2299.0,0.0,3,0.9883720930232558,34469.0,30.001420815009624,0.0,True
euro_neurips_2022,continuous,enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12,0,101,2439.0,0.0,4,0.9844961240310077,44596.0,3030.2569366348907,0.0,True
euro_neurips_2022,aet_rag,enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12,42,27,2222.0,0.0,5,0.9806201550387597,54372.0,810.0862169675529,0.3333333333333333,True
